"pathway","N","DE","P.DE","FDR"
"WP_PURINERGIC_SIGNALING",30,4,0.318844275855954,1
"WP_GENES_INVOLVED_IN_MALE_INFERTILITY",138,12,0.810708725637962,1
"WP_HEAD_AND_NECK_SQUAMOUS_CELL_CARCINOMA",74,15,0.0869640535735183,0.79558929708388
"WP_EICOSANOID_METABOLISM_VIA_LIPO_OXYGENASES_LOX",28,1,0.914643296843351,1
"WP_TYPE_I_INTERFERON_INDUCTION_AND_SIGNALING_DURING_SARSCOV2_INFECTION",27,1,0.923765834554612,1
"WP_3Q29_COPY_NUMBER_VARIATION_SYNDROME",70,7,0.649194866747231,1
"WP_BASE_EXCISION_REPAIR",30,3,0.446293381878296,1
"WP_FGF23_SIGNALLING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS",21,3,0.451783939465393,1
"WP_SPHINGOLIPID_METABOLISM_GENERAL_OVERVIEW",23,3,0.486098961228674,1
"WP_NEPHROTIC_SYNDROME",44,6,0.456697596865928,1
"WP_PROTEOGLYCAN_BIOSYNTHESIS",18,4,0.200821682187189,0.938096482217203
"WP_GASTRIN_SIGNALING_PATHWAY",113,18,0.160428922830091,0.88595543543401
"WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM",46,7,0.63097339664276,1
"WP_SARSCOV2_AND_ANGIOTENSINCONVERTING_ENZYME_2_RECEPTOR_MOLECULAR_MECHANISMS",6,1,0.353886580611191,1
"WP_COVID19_THROMBOSIS_AND_ANTICOAGULATION",7,0,1,1
"WP_SOMITOGENESIS_IN_THE_CONTEXT_OF_SPONDYLOCOSTAL_DYSOSTOSIS",9,2,0.401118113140851,1
"WP_TYPE_I_COLLAGEN_SYNTHESIS_IN_THE_CONTEXT_OF_OSTEOGENESIS_IMPERFECTA",32,6,0.226621755101544,0.945684440980129
"WP_AUTOSOMAL_RECESSIVE_OSTEOPETROSIS_PATHWAYS",11,2,0.403944680914087,1
"WP_MED_AND_PSEUDOACHONDROPLASIA_GENES",6,2,0.262257051717709,0.973753902380434
"WP_PURINE_METABOLISM",11,0,1,1
"WP_ACTIVATION_OF_NLRP3_INFLAMMASOME_BY_SARSCOV2",7,1,0.540445884761482,1
"WP_DISRUPTION_OF_POSTSYNAPTIC_SIGNALLING_BY_CNV",30,4,0.803491328632058,1
"WP_PATHOGENESIS_OF_SARSCOV2_MEDIATED_BY_NSP9NSP10_COMPLEX",20,5,0.0742681960171725,0.77388430980496
"WP_THE_OVERLAP_BETWEEN_SIGNAL_TRANSDUCTION_PATHWAYS_THAT_CONTRIBUTE_TO_A_RANGE_OF_LMNA_LAMINOPATHIES",55,9,0.24759905768936,0.961961991873146
"WP_UNFOLDED_PROTEIN_RESPONSE",23,5,0.0844999838287838,0.795310479026394
"WP_15Q112_COPY_NUMBER_VARIATION_SYNDROME",9,2,0.364601224772799,1
"WP_CILIOPATHIES",175,11,0.956796515490258,1
"WP_MITOCHONDRIAL_CIV_ASSEMBLY",30,0,1,1
"WP_MAPK_PATHWAY_IN_CONGENITAL_THYROID_CANCER",15,3,0.372345311862098,1
"WP_15Q133_COPY_NUMBER_VARIATION_SYNDROME",18,1,0.852598537819848,1
"WP_ENDOCHONDRAL_OSSIFICATION_WITH_SKELETAL_DYSPLASIAS",64,8,0.636310782821883,1
"WP_CELLULAR_PROTEOSTASIS",5,0,1,1
"WP_TGFBETA_RECEPTOR_SIGNALLING_IN_SKELETAL_DYSPLASIAS",59,11,0.119590735121384,0.840494772108662
"WP_SOMATIC_SEX_DETERMINATION",13,3,0.235007147977233,0.950137934128745
"WP_COVID19_ADVERSE_OUTCOME_PATHWAY",14,3,0.0463227024118655,0.717551519563081
"WP_LDLRAD4_AND_WHAT_WE_KNOW_ABOUT_IT",7,1,0.650865548875528,1
"WP_1Q211_COPY_NUMBER_VARIATION_SYNDROME",26,1,0.940547942821077,1
"WP_GENES_CONTROLLING_NEPHROGENESIS",43,4,0.871482650488373,1
"WP_MITOCHONDRIAL_CIII_ASSEMBLY",15,0,1,1
"WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK",114,8,0.836537394868761,1
"WP_REGUCALCIN_IN_PROXIMAL_TUBULE_EPITHELIAL_KIDNEY_CELLS",32,3,0.724211914715872,1
"WP_NO_METABOLISM_IN_CYSTIC_FIBROSIS",13,2,0.546672763607485,1
"WP_NEUROINFLAMMATION",11,0,1,1
"WP_MAMMALIAN_DISORDER_OF_SEXUAL_DEVELOPMENT",24,4,0.343995121651436,1
"WP_SARSCOV2_AND_COVID19_PATHWAY",8,2,0.316316373311345,1
"WP_SARS_CORONAVIRUS_AND_INNATE_IMMUNITY",21,0,1,1
"WP_MITOCHONDRIAL_CII_ASSEMBLY",8,1,0.50371810831316,1
"WP_INTRACELLULAR_TRAFFICKING_PROTEINS_INVOLVED_IN_CMT_NEUROPATHY",26,3,0.595380978718946,1
"WP_HIJACK_OF_UBIQUITINATION_BY_SARSCOV2",8,1,0.413280819123421,1
"WP_ENDOPLASMIC_RETICULUM_STRESS_RESPONSE_IN_CORONAVIRUS_INFECTION",45,5,0.501543108641133,1
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_APOPTOSIS",21,4,0.237619052499698,0.95081183012944
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_AUTOPHAGY",18,4,0.130742022835599,0.845720141148663
"WP_AUTOPHAGY",30,3,0.677438099540485,1
"WP_RAS_AND_BRADYKININ_PATHWAYS_IN_COVID19",27,3,0.496423552766053,1
"WP_KISSPEPTINKISSPEPTIN_RECEPTOR_SYSTEM_IN_THE_OVARY",38,9,0.0269459297873329,0.642631088723868
"WP_PEROXIREDOXIN_2_INDUCED_OVARIAN_FAILURE",8,0,1,1
"WP_MAP3K1_ROLE_IN_PROMOTING_AND_BLOCKING_GONADAL_DETERMINATION",16,0,1,1
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_MAPK_SIGNALING",35,6,0.221489306661363,0.945684440980129
"WP_HOSTPATHOGEN_INTERACTION_OF_HUMAN_CORONA_VIRUSES_INTERFERON_INDUCTION",31,1,0.944879207469476,1
"WP_7Q1123_COPY_NUMBER_VARIATION_SYNDROME",91,8,0.739631303297656,1
"WP_GLYCOLYSIS_IN_SENESCENCE",9,2,0.347018386545872,1
"WP_7OXOC_AND_7BETAHC_PATHWAYS",25,1,0.847609668299036,1
"WP_KYNURENINE_PATHWAY_AND_LINKS_TO_CELLULAR_SENESCENCE",22,3,0.350579402883721,1
"WP_16P112_DISTAL_DELETION_SYNDROME",23,3,0.559903862127145,1
"WP_16P112_PROXIMAL_DELETION_SYNDROME",71,7,0.567159010389767,1
"WP_TCA_CYCLE_IN_SENESCENCE",9,0,1,1
"WP_NAD_METABOLISM_IN_ONCOGENEINDUCED_SENESCENCE_AND_MITOCHONDRIAL_DYSFUNCTIONASSOCIATED_SENESCENCE",23,3,0.379755138009362,1
"WP_AIRWAY_SMOOTH_MUSCLE_CELL_CONTRACTION",16,3,0.263304097266054,0.973812673047952
"WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19",20,1,0.833436640942598,1
"WP_P53_TRANSCRIPTIONAL_GENE_NETWORK",70,12,0.0441385009538762,0.717551519563081
"WP_FLUOROACETIC_ACID_TOXICITY",6,0,1,1
"WP_BIOTIN_METABOLISM_INCLUDING_IEMS",9,2,0.424611912530933,1
"WP_RIBOFLAVIN_AND_COQ_DISORDERS",14,0,1,1
"WP_SARSCOV2_MITOCHONDRIAL_INTERACTIONS",28,2,0.691580613470741,1
"WP_SARSCOV2_INNATE_IMMUNITY_EVASION_AND_CELLSPECIFIC_IMMUNE_RESPONSE",64,6,0.509815852007703,1
"BIOCARTA_FEEDER_PATHWAY",9,1,0.577911032646053,1
"BIOCARTA_PROTEASOME_PATHWAY",17,0,1,1
"BIOCARTA_KREB_PATHWAY",8,0,1,1
"BIOCARTA_RELA_PATHWAY",14,2,0.468673809251239,1
"BIOCARTA_NO1_PATHWAY",28,2,0.901599606612626,1
"BIOCARTA_CSK_PATHWAY",20,6,0.0355904581517699,0.681357917505001
"BIOCARTA_SRCRPTP_PATHWAY",11,1,0.791570727013625,1
"BIOCARTA_AMI_PATHWAY",18,2,0.537580916988186,1
"BIOCARTA_ARAP_PATHWAY",17,2,0.674525786715166,1
"BIOCARTA_AGR_PATHWAY",30,1,0.989261440901052,1
"BIOCARTA_AKAP95_PATHWAY",11,2,0.258454918599188,0.970329169043484
"BIOCARTA_AKT_PATHWAY",20,1,0.921222927347418,1
"BIOCARTA_ALK_PATHWAY",37,5,0.497344959516912,1
"BIOCARTA_AT1R_PATHWAY",26,5,0.249381278497342,0.961961991873146
"BIOCARTA_ACE2_PATHWAY",9,2,0.225341824711171,0.945684440980129
"BIOCARTA_ASBCELL_PATHWAY",12,3,0.0790852444257833,0.787016952580846
"BIOCARTA_DNAFRAGMENT_PATHWAY",10,0,1,1
"BIOCARTA_CHEMICAL_PATHWAY",18,2,0.703555064504573,1
"BIOCARTA_SPPA_PATHWAY",16,3,0.264603061521898,0.976068324598356
"BIOCARTA_ATM_PATHWAY",20,2,0.685791107377331,1
"BIOCARTA_AGPCR_PATHWAY",11,5,0.0118938612979435,0.502031314373423
"BIOCARTA_BCELLSURVIVAL_PATHWAY",15,2,0.549979944168506,1
"BIOCARTA_BCR_PATHWAY",31,8,0.0374548495816376,0.684577992675995
"BIOCARTA_BIOPEPTIDES_PATHWAY",28,5,0.278841726621448,0.994071336227002
"BIOCARTA_RANKL_PATHWAY",13,1,0.705561322877876,1
"BIOCARTA_CACAM_PATHWAY",9,2,0.25870609447211,0.970329169043484
"BIOCARTA_CDMAC_PATHWAY",16,3,0.308218141637088,1
"BIOCARTA_CASPASE_PATHWAY",22,2,0.648207652523192,1
"BIOCARTA_CBL_PATHWAY",11,2,0.47483054869336,1
"BIOCARTA_CCR3_PATHWAY",18,3,0.30916629235892,1
"BIOCARTA_CD40_PATHWAY",12,1,0.75643157737788,1
"BIOCARTA_MCM_PATHWAY",18,1,0.788884733794293,1
"BIOCARTA_G1_PATHWAY",28,4,0.512865262655625,1
"BIOCARTA_G2_PATHWAY",24,3,0.494238938514667,1
"BIOCARTA_CELL2CELL_PATHWAY",11,1,0.851135365473711,1
"BIOCARTA_CERAMIDE_PATHWAY",20,2,0.691052970096514,1
"BIOCARTA_TID_PATHWAY",19,3,0.391311708548196,1
"BIOCARTA_CLASSIC_PATHWAY",14,3,0.0520266086218082,0.731470476725191
"BIOCARTA_COMP_PATHWAY",19,3,0.143030711221714,0.866447570515687
"BIOCARTA_HDAC_PATHWAY",25,3,0.639796374561704,1
"BIOCARTA_GCR_PATHWAY",17,2,0.64444524739851,1
"BIOCARTA_CTCF_PATHWAY",24,4,0.297138684203168,1
"BIOCARTA_CTL_PATHWAY",13,2,0.351672530749941,1
"BIOCARTA_CXCR4_PATHWAY",19,4,0.212217874970862,0.945684440980129
"BIOCARTA_CELLCYCLE_PATHWAY",23,3,0.563838833183541,1
"BIOCARTA_CFTR_PATHWAY",11,2,0.33395642318629,1
"BIOCARTA_CYTOKINE_PATHWAY",17,2,0.297412452148668,1
"BIOCARTA_INFLAM_PATHWAY",25,6,0.023163849623878,0.615730955943549
"BIOCARTA_D4GDI_PATHWAY",12,0,1,1
"BIOCARTA_DC_PATHWAY",14,0,1,1
"BIOCARTA_P35ALZHEIMERS_PATHWAY",8,1,0.605414292281997,1
"BIOCARTA_RNA_PATHWAY",9,0,1,1
"BIOCARTA_SKP2E2F_PATHWAY",10,2,0.407646935267598,1
"BIOCARTA_CALCINEURIN_PATHWAY",18,4,0.239484172204747,0.952891376202313
"BIOCARTA_EGF_PATHWAY",26,6,0.112624172767691,0.840494772108662
"BIOCARTA_ETC_PATHWAY",8,1,0.602420227773154,1
"BIOCARTA_NDKDYNAMIN_PATHWAY",17,2,0.617754833575265,1
"BIOCARTA_EPHA4_PATHWAY",8,2,0.355908198256606,1
"BIOCARTA_EPO_PATHWAY",18,4,0.111881622443856,0.840494772108662
"BIOCARTA_ECM_PATHWAY",19,4,0.116497709857891,0.840494772108662
"BIOCARTA_ERK_PATHWAY",26,5,0.326081355602259,1
"BIOCARTA_ERYTH_PATHWAY",15,2,0.321806402848538,1
"BIOCARTA_EPONFKB_PATHWAY",11,1,0.693298677551796,1
"BIOCARTA_EIF_PATHWAY",14,2,0.50514319857819,1
"BIOCARTA_EXTRINSIC_PATHWAY",13,0,1,1
"BIOCARTA_FAS_PATHWAY",30,2,0.898793625578066,1
"BIOCARTA_FCER1_PATHWAY",37,6,0.247790829207024,0.961961991873146
"BIOCARTA_FIBRINOLYSIS_PATHWAY",12,1,0.542514748438582,1
"BIOCARTA_FMLP_PATHWAY",33,5,0.32184433241035,1
"BIOCARTA_FREE_PATHWAY",9,1,0.526771521142273,1
"BIOCARTA_GATA3_PATHWAY",14,4,0.0901628642548716,0.79558929708388
"BIOCARTA_SET_PATHWAY",10,1,0.688612074294936,1
"BIOCARTA_GH_PATHWAY",27,8,0.0175772179448911,0.562548114497097
"BIOCARTA_AHSP_PATHWAY",11,1,0.460828895055557,1
"BIOCARTA_TCAPOPTOSIS_PATHWAY",9,2,0.120751674151567,0.840494772108662
"BIOCARTA_HIVNEF_PATHWAY",55,8,0.318642126357516,1
"BIOCARTA_SALMONELLA_PATHWAY",5,1,0.43863554817514,1
"BIOCARTA_MPR_PATHWAY",21,3,0.405483737601417,1
"BIOCARTA_HCMV_PATHWAY",17,3,0.389805992259571,1
"BIOCARTA_P53HYPOXIA_PATHWAY",20,1,0.934314894089275,1
"BIOCARTA_HIF_PATHWAY",15,1,0.853773945370625,1
"BIOCARTA_IGF1_PATHWAY",20,4,0.212850945331181,0.945684440980129
"BIOCARTA_IL17_PATHWAY",15,4,0.033372172339152,0.668278068471016
"BIOCARTA_IL2_PATHWAY",20,5,0.0563428106093832,0.742738574138883
"BIOCARTA_IL3_PATHWAY",14,4,0.0534466603184308,0.731470476725191
"BIOCARTA_IL4_PATHWAY",10,2,0.384670997970006,1
"BIOCARTA_IL5_PATHWAY",11,3,0.072142845014224,0.77388430980496
"BIOCARTA_IL6_PATHWAY",20,5,0.0890624034545739,0.79558929708388
"BIOCARTA_IL10_PATHWAY",13,4,0.025816695213642,0.642631088723868
"BIOCARTA_IL12_PATHWAY",18,2,0.553735158967067,1
"BIOCARTA_IL2RB_PATHWAY",36,7,0.115433798106296,0.840494772108662
"BIOCARTA_IL22BP_PATHWAY",9,2,0.349053047013387,1
"BIOCARTA_IL7_PATHWAY",16,4,0.164492331546118,0.889325907004105
"BIOCARTA_GSK3_PATHWAY",20,4,0.297285450264259,1
"BIOCARTA_DEATH_PATHWAY",28,2,0.806059550312367,1
"BIOCARTA_RACCYCD_PATHWAY",25,5,0.207636525565623,0.945684440980129
"BIOCARTA_GLEEVEC_PATHWAY",23,3,0.55479670084737,1
"BIOCARTA_INSULIN_PATHWAY",20,4,0.20971089529461,0.945684440980129
"BIOCARTA_INTEGRIN_PATHWAY",34,4,0.666728560270349,1
"BIOCARTA_INTRINSIC_PATHWAY",19,1,0.836405627348453,1
"BIOCARTA_KERATINOCYTE_PATHWAY",45,7,0.392697998388193,1
"BIOCARTA_TCRA_PATHWAY",12,4,0.0729902546590448,0.77388430980496
"BIOCARTA_LECTIN_PATHWAY",12,0,1,1
"BIOCARTA_PYK2_PATHWAY",27,4,0.515434652028648,1
"BIOCARTA_MAPK_PATHWAY",78,13,0.129824922620361,0.845720141148663
"BIOCARTA_MCALPAIN_PATHWAY",18,2,0.630354489866457,1
"BIOCARTA_PPARA_PATHWAY",52,10,0.0669532203654569,0.77388430980496
"BIOCARTA_ETS_PATHWAY",17,3,0.291559372412549,1
"BIOCARTA_MTOR_PATHWAY",22,4,0.359312756105398,1
"BIOCARTA_IGF1R_PATHWAY",23,6,0.0632153329848398,0.77388430980496
"BIOCARTA_PITX2_PATHWAY",16,3,0.44914837250678,1
"BIOCARTA_NGF_PATHWAY",19,4,0.14980158499973,0.872785937692984
"BIOCARTA_VIP_PATHWAY",26,4,0.394180151107742,1
"BIOCARTA_NFAT_PATHWAY",51,6,0.518697678069809,1
"BIOCARTA_NTHI_PATHWAY",22,3,0.505089755580832,1
"BIOCARTA_NFKB_PATHWAY",19,3,0.292484963625984,1
"BIOCARTA_NOS1_PATHWAY",21,3,0.61919134176203,1
"BIOCARTA_NO2IL12_PATHWAY",14,3,0.111612009748168,0.840494772108662
"BIOCARTA_ARENRF2_PATHWAY",20,5,0.0988853738495539,0.821531566321953
"BIOCARTA_P38MAPK_PATHWAY",35,4,0.591330986863206,1
"BIOCARTA_P53_PATHWAY",16,4,0.134439254310715,0.846499578948065
"BIOCARTA_PDGF_PATHWAY",27,6,0.141410357710772,0.864623260677903
"BIOCARTA_CCR5_PATHWAY",17,2,0.627165415499759,1
"BIOCARTA_PTDINS_PATHWAY",22,4,0.439948011141569,1
"BIOCARTA_PLCE_PATHWAY",11,3,0.0971274134252572,0.814542469272305
"BIOCARTA_EDG1_PATHWAY",22,3,0.530573812410005,1
"BIOCARTA_CDK5_PATHWAY",13,3,0.173413299564164,0.89559959394792
"BIOCARTA_MYOSIN_PATHWAY",11,2,0.442501550178039,1
"BIOCARTA_PLATELETAPP_PATHWAY",11,2,0.304115161306061,1
"BIOCARTA_PS1_PATHWAY",14,3,0.344347209195785,1
"BIOCARTA_AKAPCENTROSOME_PATHWAY",14,2,0.499883030041506,1
"BIOCARTA_PTEN_PATHWAY",18,2,0.756498757969615,1
"BIOCARTA_RAB_PATHWAY",12,2,0.36074799925251,1
"BIOCARTA_RAC1_PATHWAY",21,6,0.0364597298411252,0.684577992675995
"BIOCARTA_RAS_PATHWAY",20,5,0.0820453470701357,0.790615362760198
"BIOCARTA_NKCELLS_PATHWAY",20,5,0.0426458291149514,0.717551519563081
"BIOCARTA_RB_PATHWAY",13,1,0.806877231512723,1
"BIOCARTA_BAD_PATHWAY",24,6,0.0483427678778018,0.721044867122814
"BIOCARTA_CK1_PATHWAY",16,4,0.112319882157444,0.840494772108662
"BIOCARTA_EIF2_PATHWAY",9,1,0.608942918425432,1
"BIOCARTA_EIF4_PATHWAY",24,4,0.453964308664558,1
"BIOCARTA_STEM_PATHWAY",15,2,0.231080240675909,0.946787345933959
"BIOCARTA_P27_PATHWAY",13,1,0.773815456062569,1
"BIOCARTA_PGC1A_PATHWAY",15,2,0.435043254500621,1
"BIOCARTA_PML_PATHWAY",17,3,0.447096212210622,1
"BIOCARTA_DREAM_PATHWAY",13,2,0.469268879911567,1
"BIOCARTA_LEPTIN_PATHWAY",11,3,0.134758669292474,0.846499578948065
"BIOCARTA_RHO_PATHWAY",18,2,0.521229722691191,1
"BIOCARTA_AKAP13_PATHWAY",11,2,0.323790088637254,1
"BIOCARTA_ATRBRCA_PATHWAY",22,0,1,1
"BIOCARTA_CARDIACEGF_PATHWAY",17,1,0.908583198095425,1
"BIOCARTA_HER2_PATHWAY",23,5,0.173017917069734,0.89559959394792
"BIOCARTA_ERK5_PATHWAY",14,3,0.250654050812984,0.961961991873146
"BIOCARTA_MAL_PATHWAY",19,3,0.320981772208016,1
"BIOCARTA_MEF2D_PATHWAY",18,4,0.220683725770135,0.945684440980129
"BIOCARTA_MITOCHONDRIA_PATHWAY",18,1,0.871208329260179,1
"BIOCARTA_ACH_PATHWAY",14,2,0.534756573037468,1
"BIOCARTA_PARKIN_PATHWAY",8,1,0.64526162837307,1
"BIOCARTA_CDC42RAC_PATHWAY",8,2,0.284868572470171,0.998802804217815
"BIOCARTA_BARR_MAPK_PATHWAY",14,2,0.551223825369197,1
"BIOCARTA_TOB1_PATHWAY",19,3,0.280507031832411,0.994071336227002
"BIOCARTA_BARRESTIN_SRC_PATHWAY",17,2,0.645776961716602,1
"BIOCARTA_NKT_PATHWAY",24,4,0.0780248938900135,0.78384583117166
"BIOCARTA_IL1R_PATHWAY",27,4,0.315972683067925,1
"BIOCARTA_MET_PATHWAY",32,4,0.569305880909976,1
"BIOCARTA_GPCR_PATHWAY",28,5,0.270676997991114,0.981578776384864
"BIOCARTA_IGF1MTOR_PATHWAY",18,1,0.924827229907015,1
"BIOCARTA_SODD_PATHWAY",10,1,0.723241390041004,1
"BIOCARTA_SHH_PATHWAY",16,3,0.359225245148807,1
"BIOCARTA_PTC1_PATHWAY",11,0,1,1
"BIOCARTA_SPRY_PATHWAY",16,2,0.574369227977795,1
"BIOCARTA_BARRESTIN_PATHWAY",12,2,0.498310408463532,1
"BIOCARTA_STATHMIN_PATHWAY",20,4,0.0946531103181016,0.805262046640186
"BIOCARTA_HSP27_PATHWAY",14,3,0.217744905853167,0.945684440980129
"BIOCARTA_TCR_PATHWAY",43,9,0.0812429458976656,0.790615362760198
"BIOCARTA_TCYTOTOXIC_PATHWAY",12,3,0.1097340329683,0.840494772108662
"BIOCARTA_THELPER_PATHWAY",12,4,0.0160526507505253,0.542391770423427
"BIOCARTA_TALL1_PATHWAY",14,2,0.332999687671091,1
"BIOCARTA_TGFB_PATHWAY",19,4,0.201019767052806,0.938096482217203
"BIOCARTA_TH1TH2_PATHWAY",20,3,0.220983313916757,0.945684440980129
"BIOCARTA_41BB_PATHWAY",18,1,0.816370914015509,1
"BIOCARTA_CTLA4_PATHWAY",20,4,0.142227591843388,0.864658299768922
"BIOCARTA_LONGEVITY_PATHWAY",15,3,0.247781914395703,0.961961991873146
"BIOCARTA_PAR1_PATHWAY",19,3,0.439586822646491,1
"BIOCARTA_STRESS_PATHWAY",22,2,0.733757509529358,1
"BIOCARTA_TNFR1_PATHWAY",29,5,0.291858020096887,1
"BIOCARTA_TNFR2_PATHWAY",15,0,1,1
"BIOCARTA_TOLL_PATHWAY",21,1,0.896242684060276,1
"BIOCARTA_TPO_PATHWAY",24,6,0.0553267181875965,0.737577842760258
"BIOCARTA_CREB_PATHWAY",22,6,0.0577125501132382,0.74523690879051
"BIOCARTA_CARM1_PATHWAY",12,4,0.0528760743421562,0.731470476725191
"BIOCARTA_TFF_PATHWAY",24,2,0.803627521760618,1
"BIOCARTA_TRKA_PATHWAY",14,4,0.118887017503283,0.840494772108662
"BIOCARTA_ARF_PATHWAY",17,3,0.388939031975579,1
"BIOCARTA_UCALPAIN_PATHWAY",14,2,0.529394130308428,1
"BIOCARTA_VEGF_PATHWAY",25,3,0.542641524575837,1
"BIOCARTA_VITCB_PATHWAY",9,2,0.346302330926907,1
"BIOCARTA_WNT_PATHWAY",24,5,0.219844974463007,0.945684440980129
"BIOCARTA_ACTINY_PATHWAY",11,3,0.135140984895749,0.847023031437293
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",59,7,0.271194775410361,0.981578776384864
"KEGG_CITRATE_CYCLE_TCA_CYCLE",28,3,0.457739419504704,1
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",22,1,0.899609847898647,1
"KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS",27,0,1,1
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",32,2,0.880316846315876,1
"KEGG_GALACTOSE_METABOLISM",25,2,0.807660922104227,1
"KEGG_ASCORBATE_AND_ALDARATE_METABOLISM",25,0,1,1
"KEGG_FATTY_ACID_METABOLISM",41,1,0.968992194198391,1
"KEGG_STEROID_BIOSYNTHESIS",15,2,0.432430254802803,1
"KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS",16,1,0.693552827132547,1
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",53,4,0.420953745201207,1
"KEGG_OXIDATIVE_PHOSPHORYLATION",113,9,0.571115015568383,1
"KEGG_PURINE_METABOLISM",154,9,0.984732256172065,1
"KEGG_PYRIMIDINE_METABOLISM",95,4,0.968443094040494,1
"KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM",31,2,0.861864181185166,1
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",28,3,0.378414313316969,1
"KEGG_CYSTEINE_AND_METHIONINE_METABOLISM",33,2,0.866895009260044,1
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION",43,2,0.907579360656092,1
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",10,1,0.721874533626493,1
"KEGG_LYSINE_DEGRADATION",42,2,0.966962272375331,1
"KEGG_ARGININE_AND_PROLINE_METABOLISM",48,5,0.405597945798997,1
"KEGG_HISTIDINE_METABOLISM",27,5,0.0820457496000691,0.790615362760198
"KEGG_TYROSINE_METABOLISM",39,5,0.220295655681682,0.945684440980129
"KEGG_PHENYLALANINE_METABOLISM",15,3,0.200922334100368,0.938096482217203
"KEGG_TRYPTOPHAN_METABOLISM",37,2,0.846208573098296,1
"KEGG_BETA_ALANINE_METABOLISM",21,1,0.86931379074963,1
"KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM",10,2,0.297547099535418,1
"KEGG_SELENOAMINO_ACID_METABOLISM",26,2,0.760376574374627,1
"KEGG_GLUTATHIONE_METABOLISM",48,3,0.795270474239694,1
"KEGG_STARCH_AND_SUCROSE_METABOLISM",51,3,0.726962387109379,1
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",43,5,0.429319565280494,1
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE",21,5,0.163810325663043,0.889031901539084
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",25,4,0.387131448894643,1
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",53,11,0.0315610082564097,0.662313602891916
"KEGG_PYRUVATE_METABOLISM",39,2,0.885140397048854,1
"KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM",16,0,1,1
"KEGG_PROPANOATE_METABOLISM",32,2,0.835436379620525,1
"KEGG_BUTANOATE_METABOLISM",33,2,0.796220078553234,1
"KEGG_ONE_CARBON_POOL_BY_FOLATE",17,0,1,1
"KEGG_FOLATE_BIOSYNTHESIS",11,0,1,1
"KEGG_RETINOL_METABOLISM",62,2,0.869631620661524,1
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",39,2,0.690536540373235,1
"KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS",15,0,1,1
"KEGG_LIMONENE_AND_PINENE_DEGRADATION",9,0,1,1
"KEGG_NITROGEN_METABOLISM",21,1,0.849126155636219,1
"KEGG_SULFUR_METABOLISM",13,1,0.706389540660141,1
"KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450",70,7,0.156055831159264,0.883649167762752
"KEGG_DRUG_METABOLISM_CYTOCHROME_P450",70,6,0.210653523886556,0.945684440980129
"KEGG_DRUG_METABOLISM_OTHER_ENZYMES",50,3,0.586061603900054,1
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",22,2,0.718526899374529,1
"KEGG_ABC_TRANSPORTERS",42,4,0.677567920543317,1
"KEGG_RIBOSOME",82,0,1,1
"KEGG_RNA_DEGRADATION",56,2,0.9669318571676,1
"KEGG_RNA_POLYMERASE",29,0,1,1
"KEGG_DNA_REPLICATION",34,1,0.967977562181203,1
"KEGG_SPLICEOSOME",122,1,0.999990313066471,1
"KEGG_PROTEASOME",43,1,0.974624865939828,1
"KEGG_PROTEIN_EXPORT",23,2,0.523294095289905,1
"KEGG_PPAR_SIGNALING_PATHWAY",67,4,0.86653351137888,1
"KEGG_BASE_EXCISION_REPAIR",32,3,0.495396232649929,1
"KEGG_NUCLEOTIDE_EXCISION_REPAIR",40,3,0.725049863413527,1
"KEGG_MISMATCH_REPAIR",22,1,0.891077576676371,1
"KEGG_HOMOLOGOUS_RECOMBINATION",26,3,0.462190361865277,1
